Epoch,1234,1000,10,2,12345,1,0,42,123,4242,median,25Q,75Q,std
0,47.778,52.787,66.134,50.047,53.688,52.709,50.989,49.493,49.073,57.944,51.849000000000004,49.769999999999996,53.01225,4.795761758861299
1,42.879,48.785,47.106,46.924,45.654,53.469,41.769,52.971,66.272,49.151,47.945499999999996,46.289,50.106,6.139008198941152
2,45.542,44.136,42.414,44.393,51.215,41.783,47.508,52.646,41.047,50.466,44.9675,43.275000000000006,48.2475,3.74787864741766
3,45.977,47.185,49.308,47.544,42.846,41.918,49.205,50.406,58.889,43.932,47.3645,44.954499999999996,49.23075,4.297975797224276
4,73.93,45.524,72.83,47.176,42.934,57.008,42.968,43.078,42.964,47.391,46.35,43.023,49.795249999999996,10.934353293795006
5,46.703,45.873,65.011,42.601,44.535,55.158,43.137,42.112,40.855,72.15,45.20399999999999,42.869,48.81675,9.600459713468721
6,42.076,43.903,40.187,46.595,44.028,40.1,39.75,43.331,59.394,42.623,42.977000000000004,41.1315,43.93425,5.054345710782214
7,43.885,43.532,41.536,43.669,43.002,38.948,87.678,43.007,39.851,42.155,43.0045,41.8455,43.56625,12.665548757876264
8,44.51,58.655,39.345,42.138,41.422,53.156,45.225,42.1,41.865,41.387,42.119,41.6435,44.68875,5.429065045293309
9,41.853,46.841,54.028,44.2,44.74,39.195,40.25,42.11,40.706,43.72,42.915,41.2795,44.335,3.7810824762636024
10,39.858,42.004,44.604,47.273,44.693,42.211,52.422,47.204,42.407,43.577,44.0905,42.309,45.32075,3.1843109054091587
11,42.643,42.338,39.315,52.114,53.324,39.987,48.332,79.432,38.738,41.125,42.4905,40.556,49.2775,10.948372208507786
12,40.805,44.246,40.726,40.763,49.168,38.191,39.815,41.941,38.982,39.412,40.7445,39.6135,41.089,2.8241903928382732
13,43.057,60.581,39.538,43.717,42.639,68.62,39.019,41.678,43.825,42.783,42.92,42.158500000000004,43.744,8.669674651571569
14,39.412,39.545,44.332,42.502,45.207,39.2,38.527,40.119,49.583,38.375,39.832,39.306,42.959500000000006,3.313891365263688
15,42.951,42.109,44.408,55.049,41.106,51.339,39.65,49.95,39.607,40.163,42.53,40.6345,45.7935,4.944498891218038
16,48.469,50.573,38.76,41.306,43.026,65.771,39.778,50.285,41.041,39.924,42.166,40.4825,48.923,7.467402314521636
17,38.696,41.361,38.788,45.126,46.084,38.591,38.607,40.03,41.799,39.9,39.965,38.742,41.4705,2.462692140102591
18,45.313,41.496,46.786,41.039,40.359,38.055,42.185,41.103,42.702,37.603,41.2995,40.699,42.31425,2.4883677870422902
19,38.659,39.963,37.098,43.053,42.645,37.088,39.01,50.068,52.295,39.199,39.581,38.8345,42.747,4.714670916677441
20,44.577,40.199,42.048,40.319,90.974,39.117,51.473,40.846,38.61,49.792,41.447,40.259,45.88075,13.929709405101635
21,39.991,42.324,44.21,40.535,44.804,38.154,38.777,41.534,38.642,40.469,40.501999999999995,39.384,41.7315,2.041952128133699
22,37.505,44.188,41.642,45.596,57.72,43.659,45.891,42.739,41.522,58.939,43.923500000000004,42.1905,45.66974999999999,6.129973829131192
23,39.63,42.246,42.049,43.114,44.647,38.832,40.457,39.341,41.612,41.047,41.329499999999996,40.0435,42.09825,1.6263342456351455
24,38.379,41.638,39.958,51.946,41.727,38.356,39.917,41.441,46.255,39.332,40.6995,39.6245,41.66025,3.7085286137721334
25,37.952,40.772,38.861,41.162,39.547,45.391,37.017,55.368,36.887,39.255,39.400999999999996,38.406499999999994,40.8695,4.886705856853905
26,38.246,41.986,38.689,38.971,162.335,39.076,42.132,40.029,49.169,39.683,39.856,39.0235,42.022499999999994,33.84500488411502
27,48.099,50.247,36.481,70.612,46.998,39.585,40.961,40.786,37.211,40.416,40.8735,40.0005,47.27325,8.942641459369447
28,51.293,48.687,39.667,41.563,38.93,37.851,38.722,43.363,36.131,37.366,39.298500000000004,38.286500000000004,42.013000000000005,4.47492133257025
29,41.978,46.183,41.506,41.193,50.626,60.171,35.702,43.239,38.836,37.372,41.742000000000004,40.0145,43.974999999999994,6.340921141528013
Test,37.806,39.106,37.705,37.323,38.512,38.561,36.847,36.451,37.181,35.777,37.513999999999996,37.013999999999996,37.9825,0.9108869304145276
