# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 20053 27.9886 27.2923 27.4127
20000 20052 28.0061 27.281 27.4089
30000 20055.8 27.9888 27.2951 27.4137
40000 20067.7 28.0024 27.2987 27.4182
50000 20100.3 28.0321 27.3031 27.4456
60000 20118.6 28.0646 27.3124 27.4436
70000 19999.2 27.9433 27.2861 27.3665
80000 19961.8 27.8942 27.2782 27.3541
90000 19973.7 27.9155 27.2791 27.3542
100000 20104.6 28.0313 27.3136 27.4449
110000 20029.8 27.957 27.2958 27.3962
120000 20091.6 28.0109 27.3092 27.4437
130000 20003.8 27.9247 27.2836 27.3889
140000 20122.9 28.0592 27.3096 27.458
150000 20053 27.9656 27.2985 27.4243
160000 20087.9 28.0112 27.3035 27.4372
170000 20168 28.1143 27.3259 27.4747
180000 20107 28.0446 27.3118 27.4421
190000 20076.1 27.9902 27.2968 27.4426
200000 20198.9 28.107 27.3298 27.5241
210000 20147.7 28.067 27.3124 27.488
220000 20075.2 27.9804 27.2966 27.4504
230000 20139.3 28.0738 27.3101 27.4742
240000 20072.3 28.0167 27.2929 27.4309
250000 20054.5 27.9709 27.2807 27.4388
260000 20142.1 28.0574 27.3068 27.4927
270000 20055.5 27.9867 27.2993 27.4141
280000 20015.1 27.9395 27.2848 27.3939
290000 20062.5 27.9792 27.297 27.4321
300000 20064.6 28.0004 27.2996 27.416
310000 20021.4 27.9539 27.2876 27.3932
320000 20051.5 27.9802 27.2896 27.4174
330000 19994.6 27.9334 27.2819 27.3711
340000 20073 28.0012 27.3005 27.4278
350000 20048.3 27.9683 27.3031 27.4105
360000 20084.9 28.0083 27.3157 27.4275
370000 20097.8 28.0107 27.3106 27.4533
380000 20045.5 27.9701 27.3034 27.4026
390000 20101.8 28.0196 27.3039 27.4568
400000 20103.2 28.0286 27.295 27.4619
410000 20173.3 28.1072 27.3203 27.4896
420000 20039.5 27.9708 27.2913 27.4046
430000 20006 27.9402 27.2846 27.3815
440000 20105.5 28.0399 27.2941 27.4535
450000 20140.4 28.0601 27.307 27.4842
460000 20128.9 28.0524 27.2896 27.4881
470000 20026.5 27.9635 27.2945 27.3839
480000 20035.1 27.958 27.29 27.4071
490000 20077 28.0127 27.306 27.4206
500000 19989.7 27.9238 27.2894 27.3629
510000 20024.7 27.9466 27.2876 27.4029
520000 20097.9 28.022 27.3015 27.4501
530000 20030.4 27.9554 27.2984 27.3953
540000 19960.8 27.8893 27.2842 27.347
550000 20029.1 27.9627 27.2928 27.3937
560000 19992 27.9296 27.287 27.366
570000 20035.3 27.9504 27.2864 27.4198
580000 20080 28.0074 27.2912 27.4433
590000 20078.8 27.9958 27.2936 27.4467
600000 20035.3 27.9826 27.2895 27.3912
610000 20048.1 27.9888 27.297 27.4009
620000 20084.7 28.0296 27.2967 27.4289
630000 20046.9 27.9814 27.2949 27.4037
640000 19972.3 27.9048 27.277 27.3615
650000 20069.8 28.0111 27.3 27.4191
660000 20107.8 28.0426 27.3044 27.4498
670000 20001.8 27.9081 27.2783 27.4044
680000 20003.5 27.9146 27.2782 27.4045
690000 20040.8 27.9635 27.293 27.408
700000 20020.6 27.9358 27.2862 27.4049
710000 20003.2 27.9202 27.286 27.3902
720000 19968.7 27.8685 27.2766 27.381
730000 20007.2 27.9232 27.2783 27.4006
740000 20041.2 27.9819 27.2823 27.4088
750000 20087.5 28.0081 27.292 27.4536
760000 20132.3 28.0832 27.2945 27.4693
770000 20126.7 28.0826 27.3048 27.4496
780000 20043.8 27.9812 27.2951 27.4013
790000 20012.4 27.9447 27.2887 27.3816
800000 20036.3 27.9648 27.2857 27.4109
810000 20059.4 27.9759 27.3042 27.4207
820000 20045.9 27.9635 27.3002 27.4136
830000 20103 28.0286 27.2918 27.4639
840000 20078.2 27.9891 27.301 27.4407
850000 20046.9 27.9804 27.3034 27.3981
860000 20043 27.9505 27.2943 27.4234
870000 20072.3 28.0043 27.3012 27.4255
880000 20104.5 28.0175 27.3053 27.4611
890000 20161.9 28.0779 27.3171 27.5012
900000 20046.5 27.9454 27.2936 27.436
910000 20044.6 27.9649 27.293 27.4189
920000 20003.6 27.9612 27.2875 27.3627
930000 20007.9 27.95 27.2911 27.3695
940000 20036.8 27.948 27.2939 27.4154
950000 20115.8 28.0196 27.3154 27.4645
960000 20034.4 27.9496 27.2862 27.4163
970000 20067.5 27.9826 27.2985 27.4338
980000 19983.2 27.89 27.2873 27.3781
990000 20027 27.9307 27.2868 27.4163
1000000 20080.5 27.9975 27.3066 27.4357
