# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 34936.5 30.5248 34.1938 33.5205
20000 34969.2 30.5466 34.1918 33.5276
30000 34962.5 30.5159 34.188 33.5608
40000 34979.8 30.5289 34.1901 33.5585
50000 34980.3 30.5437 34.179 33.553
60000 34940.7 30.524 34.1876 33.5316
70000 35002.6 30.5382 34.1864 33.5724
80000 34987.5 30.535 34.1856 33.5628
90000 35002.8 30.5367 34.1884 33.5734
100000 34963 30.5378 34.1891 33.5347
110000 34975.5 30.5279 34.1827 33.5633
120000 34995.3 30.5362 34.186 33.5692
130000 34934.8 30.5208 34.1873 33.5301
140000 34929.5 30.5173 34.1837 33.533
150000 34940.5 30.5335 34.1811 33.5271
160000 34943.5 30.5264 34.1838 33.5352
170000 34973.8 30.537 34.1724 33.5607
180000 34985 30.5454 34.174 33.5594
190000 34978.6 30.5404 34.181 33.5522
200000 34947.2 30.5266 34.1825 33.5382
210000 34946.4 30.5423 34.1789 33.5228
220000 34955.7 30.5325 34.1794 33.5433
230000 34976.4 30.5334 34.1843 33.5566
240000 34956.3 30.5297 34.1908 33.5369
250000 34937.1 30.5285 34.1873 33.5233
260000 34946.6 30.5213 34.1858 33.5417
270000 34947 30.5316 34.1989 33.5174
280000 34928.7 30.5228 34.1967 33.5136
290000 34941.5 30.5219 34.1874 33.5351
300000 34935.5 30.5337 34.1864 33.5172
310000 34939.7 30.5211 34.19 33.5321
320000 34923.6 30.5252 34.187 33.5145
330000 34958.9 30.5333 34.1908 33.5338
340000 34979.5 30.5519 34.1937 33.5287
350000 34928.1 30.5218 34.1918 33.5194
360000 34957.3 30.5465 34.1788 33.5292
370000 34944.5 30.5231 34.1877 33.5366
380000 34932.4 30.5297 34.1858 33.5207
390000 34947.2 30.5194 34.187 33.544
400000 34958.4 30.5317 34.1915 33.5353
410000 34940 30.5106 34.1939 33.5411
420000 34994.4 30.5448 34.1807 33.5639
430000 34974 30.5276 34.1922 33.553
440000 34968.1 30.5216 34.1897 33.5576
450000 34954.7 30.5258 34.1834 33.5461
460000 34918.3 30.5148 34.1823 33.5275
470000 34938.2 30.5176 34.1845 33.5392
480000 34937.9 30.5263 34.1846 33.5295
490000 34961.3 30.5374 34.1785 33.5444
500000 34997.3 30.5367 34.183 33.5739
510000 34979 30.524 34.1852 33.5703
520000 34958.3 30.531 34.1898 33.5376
530000 34972.2 30.5401 34.1827 33.5466
540000 34959.8 30.5356 34.1771 33.5461
550000 34982.7 30.5458 34.1849 33.5474
560000 34972.6 30.5413 34.1905 33.5385
570000 34954.9 30.5246 34.1893 33.5419
580000 35008.5 30.5426 34.1855 33.5738
590000 34979.4 30.5361 34.1904 33.5497
600000 34970.7 30.5395 34.1846 33.543
610000 34966.3 30.5278 34.1854 33.5526
620000 34954.2 30.5275 34.1922 33.5352
630000 34958.3 30.5349 34.1935 33.5285
640000 34968.8 30.5326 34.1906 33.5443
650000 34932.3 30.511 34.1918 33.5361
660000 34962.6 30.5388 34.1914 33.5299
670000 34943 30.519 34.196 33.5315
680000 34932.2 30.5139 34.1879 33.5354
690000 34934.3 30.5245 34.1839 33.5284
700000 34944.3 30.5291 34.1871 33.5298
710000 34949.8 30.5404 34.188 33.5208
720000 34926.6 30.505 34.1919 33.5368
730000 34978.4 30.5371 34.1864 33.5524
740000 34982.6 30.5347 34.1833 33.5618
750000 34997.9 30.5429 34.1824 33.5668
760000 34992.7 30.5362 34.1754 33.5773
770000 34949.1 30.5297 34.1713 33.5482
780000 35001.4 30.5367 34.1891 33.5703
790000 35005.6 30.5417 34.1901 33.5688
800000 34967.1 30.5359 34.1919 33.5375
810000 34959 30.5121 34.1947 33.5552
820000 34985.6 30.5413 34.1874 33.5531
830000 34996.3 30.5356 34.1861 33.57
840000 34960.8 30.5288 34.1823 33.5491
850000 34958.1 30.5324 34.1878 33.5385
860000 34982.6 30.5511 34.1848 33.5426
870000 34969.6 30.5356 34.1831 33.5483
880000 34962.3 30.5318 34.188 33.5419
890000 35002.5 30.5372 34.1772 33.5827
900000 35012.4 30.5516 34.1776 33.5751
910000 35023.7 30.5558 34.1747 33.584
920000 34966.4 30.5393 34.1767 33.5489
930000 34990.4 30.531 34.182 33.5746
940000 35027.4 30.5541 34.1765 33.5874
950000 34985.1 30.5292 34.1794 33.5742
960000 34995.7 30.5521 34.1712 33.5652
970000 34987.9 30.5392 34.1762 33.5685
980000 34963.4 30.5344 34.1759 33.5516
990000 35000.1 30.5484 34.1857 33.5588
1000000 35012 30.5417 34.1782 33.5857
