# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 24870.8 32.0761 28.0666 29.6524
20000 24872.4 32.0786 28.0669 29.652
30000 24872.3 32.078 28.0677 29.6521
40000 24873.2 32.0776 28.0677 29.6531
50000 24873.4 32.078 28.0667 29.6543
60000 24874.7 32.0773 28.0673 29.6559
70000 24873.8 32.0786 28.0667 29.6536
80000 24871.6 32.0776 28.0664 29.6528
90000 24871.8 32.0765 28.0659 29.6541
100000 24871.5 32.0782 28.0667 29.652
110000 24871.5 32.0792 28.0672 29.6512
120000 24869.2 32.0778 28.0661 29.6511
130000 24868.7 32.0764 28.0663 29.6508
140000 24867.7 32.0774 28.0656 29.6503
150000 24869 32.0777 28.0656 29.6507
160000 24870.3 32.0767 28.0655 29.6527
170000 24870.6 32.077 28.0665 29.6524
180000 24873.2 32.0777 28.0678 29.653
190000 24873.6 32.0766 28.0669 29.6544
200000 24872 32.0775 28.0668 29.6526
210000 24872.7 32.0791 28.0665 29.6525
220000 24874.8 32.0801 28.0668 29.6533
230000 24876.1 32.079 28.0682 29.6546
240000 24874.9 32.0781 28.0681 29.6538
250000 24872.2 32.0777 28.0664 29.6534
260000 24870.4 32.0762 28.0672 29.6519
270000 24867.4 32.0764 28.0658 29.6496
280000 24868.9 32.0778 28.0659 29.6506
290000 24872.3 32.0779 28.0659 29.6537
300000 24868.1 32.0752 28.0656 29.6515
310000 24869.4 32.0751 28.0649 29.6529
320000 24872.7 32.0764 28.0677 29.6531
330000 24871.1 32.0765 28.0674 29.6518
340000 24869.4 32.0768 28.0669 29.6508
350000 24870.5 32.0752 28.0662 29.6532
360000 24870.9 32.0756 28.0655 29.654
370000 24871.5 32.0762 28.0657 29.654
380000 24871 32.0765 28.0659 29.6534
390000 24869.4 32.0754 28.0651 29.6533
400000 24870.5 32.0765 28.0668 29.6516
