# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 20647.8 28.2908 27.3373 28.0843
20000 20594.6 28.2434 27.3363 28.0358
30000 20558.3 28.266 27.2823 28.0135
40000 20666.7 28.3405 27.3674 28.0465
50000 20670.8 28.3767 27.3684 28.029
60000 20419.5 28.2039 27.3388 27.7899
70000 20533.3 28.2722 27.3339 27.9261
80000 20571.4 28.2979 27.359 27.9417
90000 20529.8 28.2538 27.3489 27.9134
100000 20562 28.2726 27.3307 27.9692
110000 20503.3 28.2622 27.3313 27.8862
120000 20521.3 28.2634 27.3536 27.8919
130000 20608.6 28.3611 27.363 27.9491
140000 20579.7 28.3139 27.3752 27.9277
150000 20586.2 28.3482 27.338 27.9537
160000 20607.1 28.3211 27.2936 28.0456
170000 20595.7 28.2686 27.3431 28.0111
180000 20726 28.3344 27.3477 28.1651
190000 20780.4 28.3552 27.3319 28.2506
200000 20985.7 28.4615 27.3622 28.468
210000 20805 28.3377 27.3131 28.3217
220000 20813.3 28.3722 27.3577 28.2732
230000 20746.9 28.3268 27.3256 28.2259
240000 20874.6 28.378 27.372 28.3435
250000 20847.7 28.4359 27.3369 28.2964
260000 20783.3 28.412 27.3253 28.2346
270000 20739.7 28.3847 27.3705 28.1351
280000 20713 28.3182 27.3284 28.1805
290000 20788.5 28.3653 27.3373 28.255
300000 20739.4 28.3106 27.3569 28.1914
310000 20778 28.3841 27.3196 28.2421
320000 20681.9 28.3771 27.3503 28.0645
330000 20521.9 28.2484 27.3002 27.9519
340000 20598.1 28.3084 27.3012 28.0313
350000 20661.7 28.4269 27.3471 28.0099
360000 20523.3 28.267 27.3299 27.9165
370000 20551.5 28.2933 27.3223 27.9506
380000 20565 28.3129 27.3279 27.9502
390000 20484.2 28.2254 27.3277 27.8856
400000 20582.3 28.2835 27.3419 27.9845
410000 20610.8 28.2766 27.3474 28.0281
420000 20449.4 28.2051 27.3119 27.8609
430000 20316.3 28.1614 27.3118 27.6833
440000 20415.2 28.2442 27.3301 27.7624
450000 20266.5 28.0955 27.3128 27.6477
460000 20285 28.1129 27.3134 27.6626
470000 20251.4 28.1142 27.3239 27.606
480000 20312.9 28.1198 27.3203 27.6999
490000 20386.9 28.2307 27.336 27.7228
500000 20341.4 28.172 27.3095 27.7172
510000 20312.9 28.1563 27.3223 27.6722
520000 20470 28.2402 27.3527 27.8255
530000 20398.2 28.1528 27.3474 27.7794
540000 20531.3 28.2521 27.3443 27.9171
550000 20490.7 28.2706 27.3249 27.8636
560000 20335.6 28.1021 27.3327 27.7316
570000 20416.1 28.2132 27.3461 27.7682
580000 20514.6 28.3334 27.3575 27.8321
590000 20430.4 28.2185 27.3372 27.7947
600000 20367.4 28.1661 27.333 27.735
610000 20408.9 28.2063 27.3188 27.7916
620000 20446.3 28.2321 27.3331 27.8188
630000 20565.1 28.383 27.3176 27.9134
640000 20512.2 28.3186 27.3616 27.8349
650000 20511.1 28.2792 27.3507 27.8638
660000 20526.2 28.3201 27.3265 27.887
670000 20464.9 28.2516 27.3237 27.8392
680000 20546.5 28.286 27.3643 27.9019
690000 20628.1 28.3432 27.3017 28.054
700000 20623.5 28.2997 27.3187 28.0597
710000 20672.5 28.3117 27.3256 28.1195
720000 20696.6 28.3118 27.3486 28.1356
730000 20750.7 28.3544 27.3265 28.2136
740000 20583.9 28.2996 27.3366 27.9753
750000 20458.2 28.2234 27.3273 27.8401
760000 20451.6 28.243 27.3428 27.8087
770000 20492.7 28.3104 27.3087 27.8616
780000 20404.9 28.192 27.3395 27.7722
790000 20347.2 28.2009 27.3203 27.6968
800000 20428 28.2521 27.3488 27.7598
810000 20311.5 28.139 27.314 27.687
820000 20385.6 28.2268 27.3449 27.7175
830000 20260.1 28.1224 27.3296 27.6079
840000 20292.3 28.1201 27.3303 27.6565
850000 20422.4 28.2552 27.3416 27.7553
860000 20313.6 28.0817 27.3084 27.7327
870000 20458.4 28.2162 27.3351 27.842
880000 20566.7 28.334 27.3198 27.9467
890000 20579.5 28.4139 27.2802 27.9543
900000 20486.7 28.3311 27.3351 27.8064
910000 20459.6 28.2302 27.3299 27.837
920000 20403 28.1096 27.3307 27.8342
930000 20519.5 28.2738 27.3161 27.919
940000 20372.4 28.1469 27.3247 27.7692
950000 20515.9 28.3214 27.3323 27.8643
960000 20526.5 28.2982 27.3468 27.8793
970000 20454.6 28.2474 27.3408 27.8161
980000 20455.2 28.2565 27.3184 27.8291
990000 20648.4 28.3719 27.358 28.0121
1000000 20635.7 28.3699 27.3387 28.0124
