# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 34651 30.4524 34.2306 33.3076
20000 34665.9 30.4678 34.2258 33.3074
30000 34661.6 30.4625 34.2306 33.3057
40000 34645.5 30.4551 34.2348 33.2953
50000 34659 30.4647 34.2264 33.3043
60000 34663.9 30.4625 34.2295 33.3083
70000 34664.5 30.4587 34.2307 33.3123
80000 34668.4 30.4665 34.2316 33.3055
90000 34661.1 30.4643 34.2332 33.3001
100000 34653.8 30.4577 34.2299 33.3041
110000 34653.6 30.4614 34.2294 33.3004
120000 34638.6 30.457 34.2271 33.2943
130000 34657.3 30.4674 34.2299 33.2965
140000 34660.6 30.462 34.2278 33.308
150000 34672 30.4668 34.2346 33.3063
160000 34668.5 30.4667 34.2269 33.3101
170000 34654.4 30.4622 34.2281 33.3013
180000 34670.9 30.4724 34.2365 33.2966
190000 34655.7 30.4593 34.2251 33.3091
200000 34664.6 30.4643 34.2315 33.3055
210000 34672.5 30.469 34.2363 33.3027
220000 34649 30.4591 34.2267 33.3022
230000 34664.9 30.4672 34.2351 33.2985
240000 34640.6 30.4585 34.2335 33.2885
250000 34639.3 30.4604 34.2316 33.287
260000 34646.3 30.4687 34.2329 33.2827
270000 34632.8 30.4616 34.2332 33.2778
280000 34625 30.4585 34.2318 33.276
290000 34631.5 30.4616 34.237 33.273
300000 34641.3 30.4656 34.2371 33.2776
310000 34638.9 30.4583 34.2283 33.2928
320000 34640.5 30.459 34.2348 33.2871
330000 34644.9 30.464 34.2301 33.2903
340000 34638.8 30.4572 34.2299 33.2918
350000 34664.8 30.461 34.2344 33.3069
360000 34658.4 30.4628 34.2331 33.2997
370000 34644.7 30.4661 34.2301 33.2867
380000 34645.4 30.4625 34.2334 33.2883
390000 34631.4 30.4575 34.225 33.2897
400000 34653.1 30.4649 34.2373 33.2885
410000 34629.3 30.4562 34.2383 33.2765
420000 34637.8 30.4627 34.2301 33.2844
430000 34622 30.451 34.2349 33.279
440000 34631.3 30.4587 34.2397 33.2743
450000 34641.3 30.4638 34.2257 33.2907
460000 34640.4 30.4621 34.2292 33.2886
470000 34640.1 30.4584 34.2323 33.2895
480000 34647.7 30.4595 34.2317 33.2951
490000 34640.1 30.4614 34.2284 33.2892
500000 34642.8 30.4598 34.2323 33.2904
510000 34642.3 30.4548 34.2347 33.2931
520000 34646.3 30.4558 34.2338 33.2964
530000 34642.8 30.451 34.2323 33.3003
540000 34668 30.4669 34.2331 33.3041
550000 34625.5 30.4504 34.2321 33.2852
560000 34642.4 30.4636 34.2289 33.2886
570000 34647.8 30.4602 34.2351 33.2913
580000 34648.2 30.4576 34.2394 33.2906
590000 34653.8 30.4587 34.2291 33.3044
600000 34658.4 30.4662 34.2326 33.2965
610000 34645.5 30.4561 34.2365 33.2931
620000 34632.1 30.458 34.2276 33.287
630000 34658.8 30.4672 34.231 33.2979
640000 34671.5 30.4617 34.2313 33.3159
650000 34667.8 30.462 34.2293 33.3132
660000 34658.1 30.4609 34.2285 33.3057
670000 34665.2 30.4636 34.2275 33.3101
680000 34649.4 30.4618 34.2276 33.2978
690000 34651.4 30.4581 34.2277 33.3043
700000 34645.4 30.4546 34.2341 33.2966
710000 34635.3 30.4514 34.2308 33.2943
720000 34634.6 30.4642 34.2324 33.277
730000 34624.2 30.4484 34.2373 33.2817
740000 34632 30.4545 34.2343 33.2845
750000 34629.5 30.454 34.2364 33.2806
760000 34633.4 30.45 34.238 33.2876
770000 34632.3 30.4565 34.2348 33.2824
780000 34634.2 30.457 34.2343 33.2834
790000 34628.8 30.4545 34.2383 33.2778
800000 34630 30.4518 34.2343 33.2859
810000 34624.9 30.4506 34.2326 33.2839
820000 34642.8 30.4582 34.2313 33.2928
830000 34639.9 30.4553 34.2361 33.289
840000 34642.7 30.4582 34.2342 33.2896
850000 34656.2 30.4636 34.2336 33.296
860000 34652.8 30.4562 34.2344 33.3012
870000 34656.8 30.4576 34.2366 33.3012
880000 34656 30.4668 34.2311 33.295
890000 34641.7 30.4582 34.2328 33.2911
900000 34638.1 30.4639 34.2298 33.2838
910000 34657.5 30.4667 34.2311 33.2968
920000 34653.3 30.4638 34.2326 33.2947
930000 34645.3 30.4652 34.231 33.2874
940000 34653.6 30.4528 34.23 33.3108
950000 34670.2 30.4632 34.2363 33.3075
960000 34645.5 30.457 34.2324 33.2956
970000 34656.2 30.4592 34.2337 33.3015
980000 34665 30.4691 34.2371 33.2946
990000 34651.9 30.4567 34.2384 33.296
1000000 34642.2 30.4519 34.2405 33.2908
